"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "vue", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\@types\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\index.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 3, 34
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\package-lock.json", "JSON", 0, 0, 19224, 0, 0, 0, 0, 0, 0, 0, 1, 19225
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\App.vue", "vue", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\AppState.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 20
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\_loaders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 79
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\_transitions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 3, 42
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 235, 0, 1, 18, 254
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 41
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\assets\scss\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 12, 9, 51
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\components\LandingCard.vue", "vue", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 12, 69
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\components\Login.vue", "vue", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\components\Navbar.vue", "vue", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 5, 54
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\components\RecipeCard.vue", "vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 8, 60
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\components\SearchBar.vue", "vue", 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 6, 50
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\handlers\TestHandler.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\models\Account.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\models\Recipe.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\models\Review.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\pages\AboutPage.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\pages\AccountPage.vue", "vue", 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 3, 57
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\pages\HomePage.vue", "vue", 0, 0, 0, 0, 0, 66, 0, 0, 0, 5, 12, 83
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\pages\RecipeDetailsPage.vue", "vue", 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 8, 63
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\pages\RecipesPage.vue", "vue", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\registerGlobalComponents.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\router.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\AccountService.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\AuthService.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 46
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\AxiosService.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 35
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\RecipesService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\ReviewService.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\services\SocketService.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\utils\Logger.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\utils\Pop.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 84
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\utils\SocketHandler.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 106
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\utils\SocketProvider.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 30
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\src\utils\Store.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.client\vite.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry.code-workspace", "JSON with Comments", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\.eslintrc.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\Setup.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\jsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 0, 16
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\package-lock.json", "JSON", 0, 0, 9704, 0, 0, 0, 0, 0, 0, 0, 1, 9705
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\readme.md", "Markdown", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 38, 157
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\SocketProvider.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 74
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\Startup.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 89
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\AccountController.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\FavoritesController.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 36
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ProfilesController.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\RecipesController.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 78
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ReviewController.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ValuesController.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 60
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\db\DbConfig.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\db\DbContext.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\handlers\AuthHandler.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 40
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\handlers\TestHandler.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 31
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Account.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Favorite.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Recipe.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Review.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Value.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\AccountService.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6, 82
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\FavoritesService.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ProfileService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 34
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\RecipesService.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ReviewService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ValuesService.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\AccountValidator.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\BaseController.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Errors.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Logger.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 51
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\SocketHandler.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 75
"c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\www\index.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\markk\Documents\Dev\ReciPantry\launchsettings.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\markk\Documents\Dev\ReciPantry\package-lock.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\markk\Documents\Dev\ReciPantry\package.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 1528, 86, 29018, 128, 60, 477, 4, 419, 5, 250, 399, 32374